Country,iso_a3,Production (kg wet),Area (hectares)
"American Samoa",ASM,1048143476396.87,220691619.097806
"Samoa",WSM,1048143476396.87,220691619.097806
"Tokelau",TKL,1048143476396.87,220691619.097806
"Tonga",TON,1048143476396.87,220691619.097806
"Wallis & Futuna",WLF,1048143476396.87,220691619.097806
"Argentina",ARG,11970928355.0463,4083490.20213497
"Bolivia",BOL,697159059.011989,172581.300169267
"Brazil",BRA,7314707808.73607,2247194.3016414
"Chile",CHL,1153723411.72651,271811.900347576
"Ecuador",ECU,20724781.2320214,9553.10004848242
"Paraguay",PRY,1673161377.52674,547887.500920892
"Peru",PER,73457276.4418689,152404.399635747
"Uruguay",URY,2289013255.38604,515108.200924486
"Canada",CAN,28994732022.4535,8828245.79984705
"Guatemala",GTM,2399339.25128424,682.000000566244
"Mexico",MEX,1113409089.68265,721120.99920617
"Bermuda",BMU,1048143476396.87,220691619.097806
"Colombia",COL,9686013.10123018,10292.7999520898
"British Virgin Is.",VGB,1048143476396.87,220691619.097806
"Ireland",IRL,570756997.480219,84412.8001085892
"Jan Mayen",SJM,1048143476396.87,220691619.097806
"United Kingdom",GBR,13865168662.6878,1884164.80014896
"Gibraltar",GIB,1048143476396.87,220691619.097806
"Morocco",MAR,3719778903.5508,2964632.59747816
"Portugal",PRT,259939250.753171,58010.8999584019
"Spain",ESP,9875490910.14003,1905110.00021027
"Burkina Faso",BFA,767.61359682508,1.20000004768372
"Mali",MLI,5242146.23209439,8157.80007614195
"Mauritania",MRT,164306.362632766,1558.69999623299
"Eritrea",ERI,20681771.674692,24650.8000177145
"Ethiopia",ETH,3457987094.5643,1558163.80042084
"Mongolia",MNG,682057764.149842,263962.90058697
"Sudan",SDN,1020696544.36611,269120.999857374
"Uganda",UGA,6844767.16357284,12245.2000179663
"Iraq",IRQ,5442136130.61484,1253332.9003709
"Kazakhstan",KAZ,27413581427.6448,13693774.1105998
"Norway",NOR,228234236.303842,74478.3001100421
"Russia",RUS,60240116656.3253,24355671.399054
"Sweden",SWE,1408143430.81179,388032.500007905
"Algeria",DZA,3339720585.60396,1756263.60107782
"Libya",LBY,39717598.7140595,171574.500087246
"Monaco",MCO,1048143476396.87,220691619.097806
"Tunisia",TUN,1721131300.44593,662486.399959244
"Niger",NER,2105068.413688,3693.40000730753
"Nigeria",NGA,37687714.2188622,84974.7998251244
