cultivar,megaenvironment
whK002,simplegrownspamres_ME_me1irri,spring
whK001,simplegrownspamres_ME_me1irri,spring
whK002,simplegrownspamres_ME_me2a,spring
whK002,simplegrownspamres_ME_me2b,spring
whK002,simplegrownspamres_ME_meALLELSE,spring
whK002,simplegrownspamres_ME_me3,spring
whK006,simplegrownspamres_ME_me4,spring
whK007,simplegrownspamres_ME_me4,spring
whK009,simplegrownspamres_ME_me5,spring
whK010,simplegrownspamres_ME_me5,spring
whK011,simplegrownspamres_ME_me6_ugly_fix,spring
whK012,simplegrownspamres_ME_me7,spring
whK013,simplegrownspamres_ME_me8_ugly_fix,spring
whK012,simplegrownspamres_ME_me8_ugly_fix,spring
whK015,simplegrownspamres_ME_me9,spring
whK016,simplegrownspamres_ME_me10,winter
whK076,simplegrownspamres_ME_me11_ugly_fix,winter
whK016,simplegrownspamres_ME_me12,winter
mzK014,halfdegree_simplegrownspamres_ME_mme_ALLELSE
mzK018,halfdegree_simplegrownspamres_ME_mme_ALLELSE
mzK015,halfdegree_simplegrownspamres_ME_mme_1
mzK013,halfdegree_simplegrownspamres_ME_mme_2
mzK017,halfdegree_simplegrownspamres_ME_mme_2
mzK014,halfdegree_simplegrownspamres_ME_mme_3
mzK017,halfdegree_simplegrownspamres_ME_mme_3
mzK016,halfdegree_simplegrownspamres_ME_mme_4
mzK014,halfdegree_simplegrownspamres_ME_mme_5
mzK018,halfdegree_simplegrownspamres_ME_mme_5
mzK014,halfdegree_simplegrownspamres_ME_mme_6
mzK029,halfdegree_simplegrownspamres_ME_mme_7
mzK027,halfdegree_simplegrownspamres_ME_mme_8
mzK021,halfdegree_simplegrownspamres_ME_mme_9
mzK021,halfdegree_simplegrownspamres_ME_mme_10
mzK023,halfdegree_simplegrownspamres_ME_mme_11
mzK024,halfdegree_simplegrownspamres_ME_mme_12
mzK014,halfdegree_simplegrownspamres_ME_mme_13
mzK025,halfdegree_simplegrownspamres_ME_mme_14
mzK026,halfdegree_simplegrownspamres_ME_mme_15
ptH001,potato_ME_fullcoverage_32
ptH002,potato_ME_fullcoverage_31
ptH003,potato_ME_fullcoverage_22
ptH004,potato_ME_fullcoverage_21
ptH007,potato_ME_fullcoverage_12
ptH008,potato_ME_fullcoverage_11
riK001,INDICA_predominates_full_coverage
riK002,JAPONICA_predominates_full_coverage
