Crop,State,Rainfed,Irrigated
Maize,CA,,2797.7
Potato,CA,4727.6,
Wheat,CA,,1351.4
Canola,CA,,
Soybean,CA,,
Maize,IN,8037.8,9797.6
Potato,IN,15363.1,
Wheat,IN,3123.9,5472.2
Canola,IN,,
Soybean,IN,2617.2,2939.4
Maize,KS,6220.2,7366.1
Potato,KS,22128.2,
Wheat,KS,1753.6,3240.1
Canola,KS,428,
Soybean,KS,1969,2184.8
Maize,MS,5437.6,6584.2
Potato,MS,1797.4,
Wheat,MS,3006.4,5019.7
Canola,MS,,
Soybean,MS,1758.6,1821.6
Maize,WA,363.6,1776.6
Potato,WA,18139.4,
Wheat,WA,685.5,3892.9
Canola,WA,633.5,1088
Soybean,WA,,
Maize,MD,5876.9,6663
Potato,MD,23644.8,
Wheat,MD,2418.9,3763
Canola,MD,,
Soybean,MD,1433.5,1455.8
Maize,ND,7503.5,7700.8
Potato,ND,29433.4,
Wheat,ND,2525.6,3593.1
Canola,ND,810.7,
Soybean,ND,2326.5,1784.7
